sst_ts,direct_ts,diff_seconds,device,country
1767666391000000,1767666388164375,-2.835625,mobile,Vietnam
1767666391000000,1767666391575253,0.575253,mobile,Australia
1767666477000000,1767666477312296,0.312296,desktop,Australia
1767666479000000,1767666479438063,0.438063,desktop,Australia
1767666490000000,1767666489782051,-0.217949,mobile,Australia
1767666557000000,1767666556639701,-0.360299,desktop,Australia
1767666577000000,1767666577728339,0.728339,mobile,Australia
1767666599000000,1767666599048265,0.048265,desktop,Australia
1767666603000000,1767666601935634,-1.064366,desktop,South Korea
1767666611000000,1767666614167261,3.167261,desktop,China
1767666656000000,1767666655553736,-0.446264,mobile,Australia
1767666671000000,1767666670341466,-0.658534,desktop,China
1767666674000000,1767666674269869,0.269869,desktop,China
1767666680000000,1767666674269869,-5.730131,desktop,China
1767666682000000,1767666682206665,0.206665,mobile,Australia
1767666688000000,1767666687921241,-0.078759,desktop,Australia
1767666704000000,1767666704102228,0.102228,mobile,Australia
1767666716000000,1767666716046506,0.046506,desktop,Australia
1767666722000000,1767666722241392,0.241392,desktop,Australia
1767666737000000,1767666736737287,-0.262713,desktop,Australia
1767666746000000,1767666745653273,-0.346727,desktop,Australia
1767666766000000,1767666766260820,0.26082,desktop,Australia
1767666778000000,1767666778220748,0.220748,mobile,Australia
1767666797000000,1767666796223202,-0.776798,desktop,China
1767666818000000,1767666817777350,-0.22265,desktop,Japan
1767666855000000,1767666854577335,-0.422665,desktop,Australia
1767666870000000,1767666869960783,-0.039217,mobile,Australia
1767666905000000,1767666904225964,-0.774036,mobile,Australia
1767666920000000,1767666920336479,0.336479,desktop,Australia
1767666927000000,1767666927742878,0.742878,mobile,Australia
1767666948000000,1767666948252607,0.252607,desktop,Australia
1767666950000000,1767666949824227,-0.175773,desktop,Australia
1767666971000000,1767666970582587,-0.417413,mobile,Australia
1767666972000000,1767666961663437,-10.336563,desktop,Australia
1767667020000000,1767667020040029,0.040029,desktop,Australia
1767667077000000,1767667076575748,-0.424252,desktop,Australia
1767667106000000,1767667105883740,-0.11626,desktop,Australia
1767667148000000,1767667147501695,-0.498305,desktop,Thailand
1767667160000000,1767667160125739,0.125739,desktop,Australia
1767667214000000,1767667213912060,-0.08794,mobile,Australia
1767667265000000,1767667264364546,-0.635454,desktop,Australia
1767667276000000,1767667276358073,0.358073,mobile,Australia
1767667300000000,1767667299770709,-0.229291,desktop,Australia
1767667333000000,1767667333213289,0.213289,desktop,Australia
1767667340000000,1767667339337545,-0.662455,desktop,Australia
1767667347000000,1767667346012484,-0.987516,desktop,Australia
1767667350000000,1767667350273859,0.273859,desktop,Australia
1767667366000000,1767667367484577,1.484577,desktop,Australia
1767667371000000,1767667371198597,0.198597,desktop,Australia
1767667408000000,1767667408461845,0.461845,desktop,Australia
1767667423000000,1767667422446673,-0.553327,desktop,Australia
1767667457000000,1767667456869331,-0.130669,desktop,Australia
1767667465000000,1767667464646598,-0.353402,mobile,Australia
1767667521000000,1767667521467638,0.467638,mobile,Australia
1767667521000000,1767667520585007,-0.414993,desktop,Australia
1767667526000000,1767667525127219,-0.872781,desktop,Japan
1767667567000000,1767667566988376,-0.011624,mobile,Australia
1767667587000000,1767667586562618,-0.437382,desktop,Australia
1767667599000000,1767667599142816,0.142816,mobile,Australia
1767667651000000,1767667651501331,0.501331,mobile,Australia
1767667696000000,1767667695502754,-0.497246,desktop,Australia
1767667715000000,1767667715468344,0.468344,desktop,Australia
1767667718000000,1767667716928461,-1.071539,desktop,Vietnam
1767667739000000,1767667738730350,-0.26965,desktop,Australia
1767667800000000,1767667800206250,0.20625,desktop,Australia
1767667836000000,1767667836862286,0.862286,desktop,Australia
1767667842000000,1767667842383935,0.383935,mobile,Australia
1767667847000000,1767667847282015,0.282015,mobile,Australia
1767667877000000,1767667877164663,0.164663,desktop,Australia
